filename,htid,event_type,date,detail
33433081683744.mets.xml,nyp.33433081683744,capture,2007-11-26T22:07:00Z,Initial capture of item
33433081683744.mets.xml,nyp.33433081683744,message digest calculation,2010-09-23T08:03:00Z,Calculation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,image compression,2010-09-23T08:03:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
33433081683744.mets.xml,nyp.33433081683744,decryption,2010-10-02T02:41:28Z,Decryption of Google archive
33433081683744.mets.xml,nyp.33433081683744,fixity check,2010-10-02T02:43:34Z,Validation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,validation,2010-10-02T02:43:55Z,Validation of technical characteristics of image and OCR files
33433081683744.mets.xml,nyp.33433081683744,zip file message digest calculation,2010-10-02T02:45:06Z,Calculation of md5 checksum for zip archive
33433081683744.mets.xml,nyp.33433081683744,ingestion,2010-10-02T02:45:06Z,Ingestion of object package into repository
33433081683744.mets.xml,nyp.33433081683744,zip archive creation,2010-10-02T02:45:06Z,Compression of content files and source METS into zip archive
33433081683744.mets.xml,nyp.33433081683744,capture,2010-12-04T19:53:00Z,Original image capture
33433081683744.mets.xml,nyp.33433081683744,image compression,2012-02-03T06:43:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
33433081683744.mets.xml,nyp.33433081683744,message digest calculation,2012-02-03T06:43:00Z,Calculation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,decryption,2012-02-03T07:35:51Z,Decryption of Google archive
33433081683744.mets.xml,nyp.33433081683744,fixity check,2012-02-03T07:35:52Z,Validation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,validation,2012-02-03T07:35:59Z,Validation of technical characteristics of image and OCR files
33433081683744.mets.xml,nyp.33433081683744,zip file message digest calculation,2012-02-03T07:36:04Z,Calculation of md5 checksum for zip archive
33433081683744.mets.xml,nyp.33433081683744,ingestion,2012-02-03T07:36:04Z,Ingestion of object package into repository
33433081683744.mets.xml,nyp.33433081683744,zip archive creation,2012-02-03T07:36:04Z,Compression of content files and source METS into zip archive
33433081683744.mets.xml,nyp.33433081683744,mets migration,2013-01-30T02:19:38Z,Migration of METS to new HathiTrust METS profile version
33433081683744.mets.xml,nyp.33433081683744,premis migration,2013-01-30T02:19:40Z,Migration of PREMIS metadata to new version
33433081683744.mets.xml,nyp.33433081683744,message digest calculation,2016-09-03T10:20:00Z,Calculation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,image compression,2016-09-03T10:20:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
33433081683744.mets.xml,nyp.33433081683744,source mets creation,2016-09-03T10:20:00Z,Creation of source METS file
33433081683744.mets.xml,nyp.33433081683744,decryption,2016-09-03T20:02:33Z,Decryption of Google archive
33433081683744.mets.xml,nyp.33433081683744,fixity check,2016-09-03T20:02:37Z,Validation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,validation,2016-09-03T20:02:46Z,Validation of technical characteristics of image and OCR files
33433081683744.mets.xml,nyp.33433081683744,zip archive creation,2016-09-03T20:02:57Z,Compression of content files and source METS into zip archive
33433081683744.mets.xml,nyp.33433081683744,zip file message digest calculation,2016-09-03T20:03:03Z,Calculation of md5 checksum for zip archive
33433081683744.mets.xml,nyp.33433081683744,ingestion,2016-09-03T20:03:06Z,Ingestion of object package into repository
33433081683744.mets.xml,nyp.33433081683744,image compression,2019-12-18T18:33:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
33433081683744.mets.xml,nyp.33433081683744,source mets creation,2019-12-18T18:33:00Z,Creation of source METS file
33433081683744.mets.xml,nyp.33433081683744,message digest calculation,2019-12-18T18:33:00Z,Calculation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,decryption,2019-12-18T19:33:02Z,Decryption of Google archive
33433081683744.mets.xml,nyp.33433081683744,fixity check,2019-12-18T19:33:07Z,Validation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,validation,2019-12-18T19:33:24Z,Validation of technical characteristics of image and OCR files
33433081683744.mets.xml,nyp.33433081683744,zip archive creation,2019-12-18T19:33:44Z,Compression of content files and source METS into zip archive
33433081683744.mets.xml,nyp.33433081683744,zip file message digest calculation,2019-12-18T19:33:52Z,Calculation of md5 checksum for zip archive
33433081683744.mets.xml,nyp.33433081683744,ingestion,2019-12-18T19:33:55Z,Ingestion of object package into repository
33433081683744.mets.xml,nyp.33433081683744,message digest calculation,2022-11-10T10:16:00Z,Calculation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,image compression,2022-11-10T10:16:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
33433081683744.mets.xml,nyp.33433081683744,source mets creation,2022-11-10T10:16:00Z,Creation of source METS file
33433081683744.mets.xml,nyp.33433081683744,decryption,2022-11-10T15:08:35Z,Decryption of Google archive
33433081683744.mets.xml,nyp.33433081683744,fixity check,2022-11-10T15:08:42Z,Validation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,validation,2022-11-10T15:08:57Z,Validation of technical characteristics of image and OCR files
33433081683744.mets.xml,nyp.33433081683744,zip archive creation,2022-11-10T15:09:10Z,Compression of content files and source METS into zip archive
33433081683744.mets.xml,nyp.33433081683744,zip file message digest calculation,2022-11-10T15:09:15Z,Calculation of md5 checksum for zip archive
33433081683744.mets.xml,nyp.33433081683744,premis migration,2022-11-10T15:09:19Z,Migration of PREMIS metadata to new version
33433081683744.mets.xml,nyp.33433081683744,ingestion,2022-11-10T15:09:19Z,Ingestion of object package into repository
33433081683744.mets.xml,nyp.33433081683744,image compression,2024-09-25T23:00:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
33433081683744.mets.xml,nyp.33433081683744,source mets creation,2024-09-25T23:00:00Z,Creation of source METS file
33433081683744.mets.xml,nyp.33433081683744,message digest calculation,2024-09-25T23:00:00Z,Calculation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,decryption,2024-09-27T04:08:55Z,Decryption of Google archive
33433081683744.mets.xml,nyp.33433081683744,fixity check,2024-09-27T04:09:13Z,Validation of MD5 checksums for image and OCR files
33433081683744.mets.xml,nyp.33433081683744,validation,2024-09-27T04:09:46Z,Validation of technical characteristics of image and OCR files
33433081683744.mets.xml,nyp.33433081683744,zip archive creation,2024-09-27T04:10:12Z,Compression of content files and source METS into zip archive
33433081683744.mets.xml,nyp.33433081683744,zip file message digest calculation,2024-09-27T04:10:27Z,Calculation of md5 checksum for zip archive
33433081683744.mets.xml,nyp.33433081683744,ingestion,2024-09-27T04:10:35Z,Ingestion of object package into repository
33433081683744.mets.xml,nyp.33433081683744,premis migration,2024-09-27T04:10:35Z,Migration of PREMIS metadata to new version
b3924132.mets.xml,uc1.b3924132,capture,2007-01-03T16:26:00Z,Initial capture of item
b3924132.mets.xml,uc1.b3924132,image compression,2010-05-05T20:56:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
b3924132.mets.xml,uc1.b3924132,message digest calculation,2010-05-05T20:56:00Z,Calculation of MD5 checksums for image and OCR files
b3924132.mets.xml,uc1.b3924132,decryption,2010-05-06T01:39:30Z,Decryption of Google archive
b3924132.mets.xml,uc1.b3924132,fixity check,2010-05-06T03:10:05Z,Validation of MD5 checksums for image and OCR files
b3924132.mets.xml,uc1.b3924132,validation,2010-05-06T03:10:21Z,Validation of technical characteristics of image and OCR files
b3924132.mets.xml,uc1.b3924132,ingestion,2010-05-06T03:40:05Z,Ingestion of object package into repository
b3924132.mets.xml,uc1.b3924132,zip file message digest calculation,2010-05-06T03:40:05Z,Calculation of md5 checksum for zip archive
b3924132.mets.xml,uc1.b3924132,zip archive creation,2010-05-06T03:40:05Z,Compression of content files and source METS into zip archive
b3924132.mets.xml,uc1.b3924132,mets migration,2013-02-15T18:06:00Z,Migration of METS to new HathiTrust METS profile version
b3924132.mets.xml,uc1.b3924132,premis migration,2013-02-15T18:06:01Z,Migration of PREMIS metadata to new version
b3924132.mets.xml,uc1.b3924132,source mets creation,2014-05-16T11:45:00Z,Creation of source METS file
b3924132.mets.xml,uc1.b3924132,image compression,2014-05-16T11:45:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
b3924132.mets.xml,uc1.b3924132,message digest calculation,2014-05-16T11:45:00Z,Calculation of MD5 checksums for image and OCR files
b3924132.mets.xml,uc1.b3924132,decryption,2014-05-16T18:45:31Z,Decryption of Google archive
b3924132.mets.xml,uc1.b3924132,fixity check,2014-05-16T18:45:33Z,Validation of MD5 checksums for image and OCR files
b3924132.mets.xml,uc1.b3924132,validation,2014-05-16T18:47:24Z,Validation of technical characteristics of image and OCR files
b3924132.mets.xml,uc1.b3924132,zip archive creation,2014-05-16T18:47:30Z,Compression of content files and source METS into zip archive
b3924132.mets.xml,uc1.b3924132,zip file message digest calculation,2014-05-16T18:49:19Z,Calculation of md5 checksum for zip archive
b3924132.mets.xml,uc1.b3924132,premis migration,2014-05-16T18:49:19Z,Migration of PREMIS metadata to new version
b3924132.mets.xml,uc1.b3924132,ingestion,2014-05-16T18:49:20Z,Ingestion of object package into repository
b3924132.mets.xml,uc1.b3924132,source mets creation,2017-09-25T11:04:00Z,Creation of source METS file
b3924132.mets.xml,uc1.b3924132,image compression,2017-09-25T11:04:00Z,Conversion of raw scans to compressed TIFF and JPEG2000
b3924132.mets.xml,uc1.b3924132,message digest calculation,2017-09-25T11:04:00Z,Calculation of MD5 checksums for image and OCR files
b3924132.mets.xml,uc1.b3924132,decryption,2017-09-25T12:00:21Z,Decryption of Google archive
