ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections,recordid,oclc,locnum,author,imprint,datetype,startdate,enddate,imprintdate,place,enumcron,subjects,title
hvd.hn1ky1,hvd.hn1ky1,greymemoria,"Memoria technica, or, A new method of artificial memory, :","Grey, Richard, 1694-1771",1799,HathiTrust,"['Linguistic', 'Literary']",9711520,19454798,,"Grey, Richard,","London;Printed for W. Lowndes, no.76, Fleet Street; sold by;G. Sael, 192, Strand;T. Hurst, 32, and;J. Wallis, 46, Pater-Noster Row.;1799.",s,1799,    ,1799,enk,,Mnemonics,"Memoria technica, or, A new method of artificial memory"
hvd.hn2ghn,hvd.hn2ghn,hvd.hn2ghn,Sheridan's and Henderson's practical method of reading and reciting English poetry :,,1796,HathiTrust,"['Linguistic', 'Literary', 'Typographically Unique']",9709197,7879351,PN4105.S63,,"London;E. Newbery, 1796.",s,1796,    ,1796,enk,,Elocution,Sheridan's and Henderson's practical method of reading and reciting English poetry
hvd.hxjgch,hvd.hxjgch,sheridandiscourse,"A discourse delivered in the Theatre at Oxford, in the Senate-house at Cambridge, and at Spring-garden in London","Sheridan, Thomas, 1719-1788",1759,HathiTrust,['Literary'],9709201,15522410,,"Sheridan, Thomas,",London;Printed for A. Millar ... J. Rivington and J. Fletcher ... J. Dodsley ... and sold by J. Wilkie ...;1759.,s,1759,    ,1759,enk,,Elocution,"A discourse delivered in the Theatre at Oxford, in the Senate-house at Cambridge, and at Spring-garden in London"
hvd.hxkcgn,hvd.hxkcgn,hvd.hxkcgn,A dictionary of the English language:,"Johnson, Samuel, 1709-1784",1773,HathiTrust,"['Dictionaries', 'Literary']",9706179,5858828,,"Johnson, Samuel,","London;Printed for W. Strahan; J. and F. Rivington; J. Hinton; T. Davies; Hawes, Clarke, and Collins; R. Horsefield; W. Johnston; W. Owen; T. Lowndes; T. Caslon; S. Crowder; T. Longman; B. Law; Beckett, and De Hondt; E. and C. Dilly; J. Dodsley; W. Nicoll; W. Griffin; G. Robinson; T. Cadell; J. Knox; Almon; W. Goldsmith; J. and J. Ridley;1773.",s,1773,    ,1773,enk,,Dictionaries;English language,A dictionary of the English language
mdp.39015003296970,mdp.39015003296970,monboddoorigin5,Of the origin and progress of language.,"Monboddo, James Burnett, Lord, 1714-1799",1774,HathiTrust,"['Literary', 'Original Bibliography']",1434875,1908581,P101.M55,"Monboddo, James Burnett,","Edinburgh;J. Balfour;[etc., etc.;1774-92.",m,1774,1792,1774-1792,stk,v.5,Language and languages,Of the origin and progress of language
mdp.39015003296996,mdp.39015003296996,monboddoorigin6,Of the origin and progress of language.,"Monboddo, James Burnett, Lord, 1714-1799",1774,HathiTrust,"['Literary', 'Original Bibliography']",1434875,1908581,P101.M55,"Monboddo, James Burnett,","Edinburgh;J. Balfour;[etc., etc.;1774-92.",m,1774,1792,1774-1792,stk,v.6,Language and languages,Of the origin and progress of language
mdp.39015003297200,mdp.39015003297200,monboddoorigin1,Of the origin and progress of language.,"Monboddo, James Burnett, Lord, 1714-1799",1774,HathiTrust,"['Literary', 'Original Bibliography']",1434875,1908581,P101.M55,"Monboddo, James Burnett,","Edinburgh;J. Balfour;[etc., etc.;1774-92.",m,1774,1792,1774-1792,stk,v.1,Language and languages,Of the origin and progress of language
mdp.39015003297226,mdp.39015003297226,monboddoorigin2,Of the origin and progress of language.,"Monboddo, James Burnett, Lord, 1714-1799",1774,HathiTrust,"['Literary', 'Original Bibliography']",1434875,1908581,P101.M55,"Monboddo, James Burnett,","Edinburgh;J. Balfour;[etc., etc.;1774-92.",m,1774,1792,1774-1792,stk,v.2,Language and languages,Of the origin and progress of language
mdp.39015003297242,mdp.39015003297242,monboddoorigin3,Of the origin and progress of language.,"Monboddo, James Burnett, Lord, 1714-1799",1774,HathiTrust,"['Literary', 'Original Bibliography']",1434875,1908581,P101.M55,"Monboddo, James Burnett,","Edinburgh;J. Balfour;[etc., etc.;1774-92.",m,1774,1792,1774-1792,stk,v.3,Language and languages,Of the origin and progress of language
mdp.39015003297267,mdp.39015003297267,monboddoorigin4,Of the origin and progress of language.,"Monboddo, James Burnett, Lord, 1714-1799",1774,HathiTrust,"['Literary', 'Original Bibliography']",1434875,1908581,P101.M55,"Monboddo, James Burnett,","Edinburgh;J. Balfour;[etc., etc.;1774-92.",m,1774,1792,1774-1792,stk,v.4,Language and languages,Of the origin and progress of language
mdp.39015009128953,mdp.39015009128953,kameselements2v1,Elements of criticism.,"Kames, Henry Home, Lord, 1696-1782",1788,HathiTrust,"['Linguistic', 'Literary']",1899074,7347309,,"Kames, Henry Home,","Edinburgh;Printed for J. Bell and W. Creech; etc., etc.;1788.",s,1788,    ,1788,stk,v.1,"Criticism;Style, Literary",Elements of criticism
mdp.39015009136568,mdp.39015009136568,kameselements2v2,Elements of criticism.,"Kames, Henry Home, Lord, 1696-1782",1788,HathiTrust,"['Linguistic', 'Literary']",1899074,7347309,,"Kames, Henry Home,","Edinburgh;Printed for J. Bell and W. Creech; etc., etc.;1788.",s,1788,    ,1788,stk,v.2,"Criticism;Style, Literary",Elements of criticism
mdp.39015010964388,mdp.39015010964388,mdp.39015010964388,Poems on several occasions.,"Wesley, Samuel, 1691-1739",1736,HathiTrust,['Literary'],324543,2024152,PR3763.W6 1736,"Wesley, Samuel,","London;Printed for the author by E. Say, sold by S. Birt;1736.",s,1736,    ,1736,enk,,,Poems on several occasions
mdp.39015011025973,mdp.39015011025973,mdp.39015011025973,An essay towards an history of the English tongue,"Free, John, b. 1712?",1788,HathiTrust,['Literary'],2903268,10690280,PE1075.F7,"Free, John,","London;Printed for the author, and sold by W. Brown [and 2 others;1788.",s,1788,    ,1788,enk,,History;English language,An essay towards an history of the English tongue
