filename,mtime,last_modified
39000002419484.mets.xml,1677112122.291734,2023-02-22 19:28:42.291734
39000002419484.zip,1677325441.798539,2023-02-25 06:44:01.798539
39000000145347.zip,1692529532.654552,2023-08-20 07:05:32.654552
39000000145347.mets.xml,1692292242.639291,2023-08-17 13:10:42.639291
39000003784506.zip,1678190013.552734,2023-03-07 06:53:33.552734
39000003784506.mets.xml,1677947786.937365,2023-03-04 11:36:26.937365
39000001470173.zip,1692875086.694633,2023-08-24 07:04:46.694633
39000001470173.mets.xml,1692613640.924281,2023-08-21 06:27:20.924281
39000004516766.zip,1671967401.201495,2022-12-25 06:23:21.201495
39000004516766.mets.xml,1671691227.56921,2022-12-22 01:40:27.569210
39000005762732.mets.xml,1674054013.04127,2023-01-18 10:00:13.041270
39000005762732.zip,1674302483.99374,2023-01-21 07:01:23.993740
39000005918987.mets.xml,1674056657.651293,2023-01-18 10:44:17.651293
39000005918987.zip,1674302505.701622,2023-01-21 07:01:45.701622
39000005920231.mets.xml,1669049963.968384,2022-11-21 11:59:23.968384
39000005920231.zip,1669288306.872534,2022-11-24 06:11:46.872534
32000013166832.zip,1671449027.378155,2022-12-19 06:23:47.378155
32000013166832.mets.xml,1671209518.787472,2022-12-16 11:51:58.787472
32000007377627.mets.xml,1667198423.374004,2022-10-31 02:40:23.374004
32000007377627.zip,1667473695.88246,2022-11-03 07:08:15.882460
32000007482708.mets.xml,1704146484.817217,2024-01-01 17:01:24.817217
32000007482708.zip,1704369096.2648,2024-01-04 06:51:36.264800
32000007957766.mets.xml,1671554300.154473,2022-12-20 11:38:20.154473
32000007957766.zip,1671794385.235669,2022-12-23 06:19:45.235669
32000007957980.zip,1671880792.791734,2022-12-24 06:19:52.791734
32000007957980.mets.xml,1671629895.593483,2022-12-21 08:38:15.593483
32000007692363.zip,1671448927.803615,2022-12-19 06:22:07.803615
32000007692363.mets.xml,1671206685.963237,2022-12-16 11:04:45.963237
32000007903257.zip,1662637186.838341,2022-09-08 07:39:46.838341
32000007903257.mets.xml,1662360298.72229,2022-09-05 02:44:58.722290
32000000683138.mets.xml,1705655375.958763,2024-01-19 04:09:35.958763
32000000683138.zip,1705924288.790131,2024-01-22 06:51:28.790131
32000000980351.zip,1702379294.690384,2023-12-12 06:08:14.690384
32000000980351.mets.xml,1702138657.903943,2023-12-09 11:17:37.903943
32000000103962.mets.xml,1671205992.907299,2022-12-16 10:53:12.907299
32000000103962.zip,1671448763.132649,2022-12-19 06:19:23.132649
32000003291913.zip,1672140150.548043,2022-12-27 06:22:30.548043
32000003291913.mets.xml,1671886710.45974,2022-12-24 07:58:30.459740
32000006449849.zip,1672140156.426938,2022-12-27 06:22:36.426938
32000006449849.mets.xml,1671889324.240878,2022-12-24 08:42:04.240878
32000006890968.mets.xml,1671554243.775396,2022-12-20 11:37:23.775396
32000006890968.zip,1671794376.757292,2022-12-23 06:19:36.757292
32000006464129.mets.xml,1671418105.58346,2022-12-18 21:48:25.583460
