htid,filename,size_changed,modification_time,rsync_flags
chi.15827584,15827584.mets.xml,True,True,>f.st......
chi.15827584,15827584.zip,True,True,>f.st......
chi.18739423,18739423.mets.xml,True,True,>f.st......
chi.18739423,18739423.zip,True,True,>f.st......
chi.79279237,79279237.mets.xml,True,True,>f.st......
chi.79279237,79279237.zip,True,True,>f.st......
coo.31924008821047,31924008821047.mets.xml,True,True,>f.st......
coo.31924008821047,31924008821047.zip,True,True,>f.st......
coo.31924009605910,31924009605910.mets.xml,True,True,>f.st......
coo.31924013164953,31924013164953.mets.xml,True,True,>f.st......
coo.31924013164953,31924013164953.zip,True,True,>f.st......
coo.31924013355650,31924013355650.mets.xml,True,True,>f.st......
coo.31924013355650,31924013355650.zip,True,True,>f.st......
coo.31924014550440,31924014550440.mets.xml,True,True,>f.st......
coo.31924014550440,31924014550440.zip,True,True,>f.st......
coo.31924022154680,31924022154680.mets.xml,True,True,>f.st......
coo.31924022154680,31924022154680.zip,True,True,>f.st......
coo.31924052153313,31924052153313.mets.xml,True,True,>f.st......
coo.31924052153313,31924052153313.zip,True,True,>f.st......
hvd.32044004363289,32044004363289.mets.xml,True,True,>f.st......
hvd.32044004363289,32044004363289.zip,True,True,>f.st......
hvd.32044004825881,32044004825881.mets.xml,True,True,>f.st......
hvd.32044004825881,32044004825881.zip,True,True,>f.st......
hvd.32044005002282,32044005002282.mets.xml,True,True,>f.st......
hvd.32044005002282,32044005002282.zip,True,True,>f.st......
hvd.32044009607243,32044009607243.mets.xml,True,True,>f.st......
hvd.32044009607243,32044009607243.zip,True,True,>f.st......
hvd.32044009877606,32044009877606.mets.xml,True,True,>f.st......
hvd.32044009877606,32044009877606.zip,True,True,>f.st......
hvd.32044010332070,32044010332070.mets.xml,True,True,>f.st......
hvd.32044010332070,32044010332070.zip,True,True,>f.st......
hvd.32044010335081,32044010335081.mets.xml,True,True,>f.st......
hvd.32044010335081,32044010335081.zip,True,True,>f.st......
hvd.32044010377299,32044010377299.mets.xml,True,True,>f.st......
hvd.32044010377299,32044010377299.zip,True,True,>f.st......
hvd.32044010396893,32044010396893.mets.xml,True,True,>f.st......
hvd.32044010396893,32044010396893.zip,True,True,>f.st......
hvd.32044010441657,32044010441657.mets.xml,True,True,>f.st......
hvd.32044010441657,32044010441657.zip,True,True,>f.st......
hvd.32044010495000,32044010495000.mets.xml,True,True,>f.st......
hvd.32044010495000,32044010495000.zip,True,True,>f.st......
hvd.32044010699163,32044010699163.mets.xml,True,True,>f.st......
hvd.32044010699163,32044010699163.zip,True,True,>f.st......
hvd.32044011432754,32044011432754.mets.xml,True,True,>f.st......
hvd.32044011432754,32044011432754.zip,True,True,>f.st......
hvd.32044011590692,32044011590692.mets.xml,True,True,>f.st......
hvd.32044011590692,32044011590692.zip,True,True,>f.st......
hvd.32044011679628,32044011679628.mets.xml,True,True,>f.st......
hvd.32044011679628,32044011679628.zip,True,True,>f.st......
hvd.32044011856838,32044011856838.mets.xml,True,True,>f.st......
hvd.32044011856838,32044011856838.zip,True,True,>f.st......
