ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections
A01224,A01224,A01224,The Arcadian rhetorike: or The præcepts of rhetorike made plaine by examples,"Fraunce, Abraham, fl. 1587-1633",1588,EEBO-TCP,"['Linguistic', 'Literary']"
A01225,A01225,A01225,The Countesse of Pembrokes Emanuel,"Fraunce, Abraham, fl. 1587-1633",1591,EEBO-TCP,"['Literary', 'Original Bibliography']"
A01227,A01227,A01227,The Countesse of Pembrokes Yuychurch,"Fraunce, Abraham, fl. 1587-1633",1591,EEBO-TCP,"['Literary', 'Original Bibliography']"
A01514-pnp,A01514,A01514-pnp,"Certayne notes of Instruction concerning the making of verse or ryme in English, vvritten at the request of Master Edouardo Donati","Gascoigne, George, 1542?-1577.",1575,EEBO-TCP,['Literary']
A03670,A03670,A03670,"Horace his arte of poetrie, pistles, and satyrs Englished",Horace,1567,EEBO-TCP,['Literary']
A04254-pnp,A04254,A04254-pnp,"ANE SCHORT TREATISE, CONTEINING SOME REVLIS and cautelis to be obseruit and eschewit in Scottis Poesie.","James I, King of England, 1566-1625.
",1584,EEBO-TCP,['Literary']
A04632,A04632,A04632,The workes of Beniamin Ionson,"Jonson, Ben, 1573?-1637",1616,EEBO-TCP,['Literary']
A07448-p607,A07448,A07448-p607,Poetrie.,"Meres, Francis, 1565-1647.",1634,EEBO-TCP,['Literary']
A07448-p611,A07448,A07448-p611,Poets.,"Meres, Francis, 1565-1647.",1634,EEBO-TCP,['Literary']
A07448-p616,A07448,A07448-p616,"A comparatiue discourse of our English Poets, with the Greeke, Latine, and Italian Poets.","Meres, Francis, 1565-1647.",1634,EEBO-TCP,['Literary']
A10664,A10664,A10664,Mythomystes,"Reynolds, Henry, fl. 1627-1632",1632,EEBO-TCP,['Literary']
A12123,A12123,A12123,A treatise of the figures of grammer and rhetorike,"Sherry, Richard, ca. 1506-ca. 1555",1555,EEBO-TCP,['Linguistic']
A12224,A12224,A12224,"An apologie for poetrie. VVritten by the right noble, vertuous, and learned, Sir Phillip Sidney, Knight","Sidney, Philip, Sir, 1554-1586",1595,EEBO-TCP,['Literary']
A12225,A12225,A12225,"The defence of poesie. By Sir Phillip Sidney, Knight","Sidney, Philip, Sir, 1554-1586",1595,EEBO-TCP,"['Literary', 'Original Bibliography']"
A12226,A12226,A12226,Syr P.S. His Astrophel and Stella,"Sidney, Philip, Sir, 1554-1586",1591,EEBO-TCP,['Literary']
A12229,A12229,A12229,"The Countesse of Pembrokes Arcadia, written by Sir Philippe Sidnei","Sidney, Philip, Sir, 1554-1586",1590,EEBO-TCP,"['Literary', 'Original Bibliography']"
A12231,A12231,A12231,The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended,"Sidney, Philip, Sir, 1554-1586",1593,EEBO-TCP,['Literary']
